INFO  2018-11-12 09:12:51,706 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,706 DatabaseManager - 0.- idiomaid
INFO  2018-11-12 09:12:51,706 DatabaseManager - 1.- nom
INFO  2018-11-12 09:12:51,706 DatabaseManager - 2.- suportat
INFO  2018-11-12 09:12:51,706 DatabaseManager - 3.- ordre
INFO  2018-11-12 09:12:51,706 DatabaseManager - ------------
INFO  2018-11-12 09:12:51,722 DatabaseManager - Primary KEY [traduccioid] = dib_traduccio_pk
INFO  2018-11-12 09:12:51,738 DatabaseManager - ====[dib_traducmap_traduccio_fk] >>>> ExportedKeys FOREIGN KEY[traduccioid] -> dib_traducciomap[traducciomapid]
INFO  2018-11-12 09:12:51,753 DatabaseManager - UNIQUES = dib_traduccio_pk => traduccioid
INFO  2018-11-12 09:12:51,753 DatabaseManager - INDEX = dib_traduccio_pk_i => traduccioid
INFO  2018-11-12 09:12:51,753 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,753 DatabaseManager - 0.- traduccioid
INFO  2018-11-12 09:12:51,753 DatabaseManager - ------------
INFO  2018-11-12 09:12:51,769 DatabaseManager - Primary KEY [traducciomapid] = dib_traducmap_pk
INFO  2018-11-12 09:12:51,769 DatabaseManager - Primary KEY [idiomaid] = dib_traducmap_pk
INFO  2018-11-12 09:12:51,800 DatabaseManager - ====[dib_traducmap_traduccio_fk] <<<< ImportedKeys FOREIGN KEY[traducciomapid] -> dib_traduccio[traduccioid]
INFO  2018-11-12 09:12:51,800 DatabaseManager - UNIQUES = dib_traducmap_pk => traducciomapid
INFO  2018-11-12 09:12:51,800 DatabaseManager - UNIQUES = dib_traducmap_pk => idiomaid
INFO  2018-11-12 09:12:51,800 DatabaseManager - INDEX = dib_traducciomap_idiomaid_fk_i => idiomaid
INFO  2018-11-12 09:12:51,800 DatabaseManager - INDEX = dib_traducciomap_pk_i => traducciomapid
INFO  2018-11-12 09:12:51,816 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,816 DatabaseManager - 0.- traducciomapid
INFO  2018-11-12 09:12:51,816 DatabaseManager - 1.- idiomaid
INFO  2018-11-12 09:12:51,816 DatabaseManager - 2.- valor
INFO  2018-11-12 09:12:51,816 DatabaseManager - ------------
INFO  2018-11-12 09:12:51,816 DatabaseManager - Primary KEY [usuariaplicacioid] = dib_usuariaplicacio_pk
INFO  2018-11-12 09:12:51,847 DatabaseManager - UNIQUES = dib_usrapp_username_uk => username
INFO  2018-11-12 09:12:51,847 DatabaseManager - UNIQUES = dib_usuariaplicacio_pk => usuariaplicacioid
INFO  2018-11-12 09:12:51,862 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,862 DatabaseManager - 0.- usuariaplicacioid
INFO  2018-11-12 09:12:51,862 DatabaseManager - 1.- username
INFO  2018-11-12 09:12:51,862 DatabaseManager - 2.- contrasenya
INFO  2018-11-12 09:12:51,862 DatabaseManager - 3.- emailadmin
INFO  2018-11-12 09:12:51,878 DatabaseManager - 4.- descripcio
INFO  2018-11-12 09:12:51,878 DatabaseManager - 5.- actiu
INFO  2018-11-12 09:12:51,878 DatabaseManager - ------------
INFO  2018-11-12 09:12:51,878 DatabaseManager - Primary KEY [usuaripersonaid] = dib_usuaripersona_pk
INFO  2018-11-12 09:12:51,909 DatabaseManager - ====[dib_usrperson_idioma_idioma_fk] <<<< ImportedKeys FOREIGN KEY[idiomaid] -> dib_idioma[idiomaid]
INFO  2018-11-12 09:12:51,909 DatabaseManager - UNIQUES = dib_usrperson_nif_uk => nif
INFO  2018-11-12 09:12:51,909 DatabaseManager - UNIQUES = dib_usrperson_username_uk => username
INFO  2018-11-12 09:12:51,909 DatabaseManager - UNIQUES = dib_usuaripersona_pk => usuaripersonaid
INFO  2018-11-12 09:12:51,925 DatabaseManager - --- Camps --
INFO  2018-11-12 09:12:51,925 DatabaseManager - 0.- usuaripersonaid
INFO  2018-11-12 09:12:51,925 DatabaseManager - 1.- username
INFO  2018-11-12 09:12:51,925 DatabaseManager - 2.- nom
INFO  2018-11-12 09:12:51,940 DatabaseManager - 3.- llinatges
INFO  2018-11-12 09:12:51,940 DatabaseManager - 4.- email
INFO  2018-11-12 09:12:51,940 DatabaseManager - 5.- nif
INFO  2018-11-12 09:12:51,940 DatabaseManager - 6.- idiomaid
INFO  2018-11-12 09:12:51,940 DatabaseManager - ------------
INFO  2018-11-12 09:13:14,467 Panel_1_SelectDB - 
>>>>>>>>>>>>>>>>>  UPDATE TABLES <<<<<<<<<<<<<<<<<

INFO  2018-11-12 09:13:14,467 DatabaseManager - Primary KEY [fitxerid] = dib_fitxer_pk
INFO  2018-11-12 09:13:14,498 DatabaseManager - UNIQUES = dib_fitxer_pk => fitxerid
INFO  2018-11-12 09:13:14,498 DatabaseManager - INDEX = dib_fitxer_pk_i => fitxerid
INFO  2018-11-12 09:13:14,498 DatabaseManager - --- Camps --
INFO  2018-11-12 09:13:14,498 DatabaseManager - 0.- fitxerid
